source,url,title,total_time,thumbnail_present,raw_ingredient,ingredient_name,normalized_name,quantity,unit,status,error
twoplaidaprons,https://twoplaidaprons.com/4-ingredient-flatbread/,,,,,,,,,error,"1 validation error for IngredientData
quantity
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='¾', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/float_parsing"
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-karaage/,,,,,,,,,error,"1 validation error for IngredientData
quantity
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='¾', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/float_parsing"
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 skinless boneless chicken breast (about 11.5 oz/ 326g) if your chicken breasts are smaller, you can use two chicken breasts and skip the cutting"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-name"">skinless boneless chicken breast</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(about 11.5 oz/ 326g) if your chicken breasts are smaller, you can use two chicken breasts and skip the cutting</span></li>",skinless boneless chicken breast,skinless boneless chicken breast,1.0,,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 cup all-purpose flour"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3jXntzh"" rel=""nofollow noreferrer"" target=""_blank"">all-purpose flour</a></span></li>",all-purpose flour,allpurpose flour,1.0,cup,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 large egg beaten"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">large</span> <span class=""wprm-recipe-ingredient-name"">egg</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">beaten</span></li>",egg,egg,1.0,large,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 cup panko also known as Japanese breadcrumbs"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3uIFLwt"" rel=""nofollow noreferrer"" target=""_blank"">panko</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">also known as Japanese breadcrumbs</span></li>",panko,panko,1.0,cup,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""5"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Salt and black pepper seasoned to your preference"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Salt and black pepper</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">seasoned to your preference</span></li>",Salt and black pepper,salt  black pepper,,,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""11"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Cooked white rice (to serve with the katsu)"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Cooked white rice</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(to serve with the katsu)</span></li>",Cooked white rice,cooked  rice,,,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""12"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Green cabbage thinly shredded (to serve with the katsu)"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Green cabbage</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">thinly shredded (to serve with the katsu)</span></li>",Green cabbage,green cabbage,,,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""7"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 tablespoons ketchup"" class=""wprm-checkbox"" id=""wprm-checkbox-7"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-7""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3hFLavy"" rel=""nofollow noreferrer"" target=""_blank"">ketchup</a></span></li>",ketchup,ketchup,2.0,tablespoons,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""8"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 tablespoons Worcestershire sauce"" class=""wprm-checkbox"" id=""wprm-checkbox-8"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-8""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3hEsj48"" rel=""nofollow noreferrer"" target=""_blank"">Worcestershire sauce</a></span></li>",Worcestershire sauce,worcestershire sauce,2.0,tablespoons,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""9"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 teaspoon oyster sauce"" class=""wprm-checkbox"" id=""wprm-checkbox-9"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-9""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/41eI7kh"" rel=""nofollow noreferrer"" target=""_blank"">oyster sauce</a></span></li>",oyster sauce,oyster sauce,2.0,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""10"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon granulated sugar"" class=""wprm-checkbox"" id=""wprm-checkbox-10"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-10""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3IEdexr"" rel=""nofollow noreferrer"" target=""_blank"">granulated sugar</a></span></li>",granulated sugar,granulated sugar,1.0,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 pounds russet potato"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">pounds</span> <span class=""wprm-recipe-ingredient-name"">russet potato</span></li>",russet potato,russet potato,2.0,pounds,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 tablespoons oil any neutral oil will do"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name"">oil</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">any neutral oil will do</span></li>",oil,oil,3.0,tablespoons,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon salt"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">salt</span></li>",salt,salt,1.0,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon garlic powder"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3SikyFF"" rel=""nofollow noreferrer"" target=""_blank"">garlic powder</a></span></li>",garlic powder,garlic powder,1.0,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon onion powder"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3MQlrSe"" rel=""nofollow noreferrer"" target=""_blank"">onion powder</a></span></li>",onion powder,onion powder,1.0,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""7"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ teaspoon black pepper"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">black pepper</span></li>",black pepper,black pepper,0.5,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ teaspoon ground paprika"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/40MXgda"" rel=""nofollow noreferrer"" target=""_blank"">ground paprika</a></span></li>",ground paprika,paprika,0.5,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/air-fryer-potato-wedges/,Air Fryer Potato Wedges,20.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""5"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ teaspoon chili powder"" class=""wprm-checkbox"" id=""wprm-checkbox-7"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-7""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">chili powder</span></li>",chili powder,chili powder,0.5,teaspoon,ok,
